DirectorID,EXECID,execCIK
338101,59094,0000944673
180449,33644,0001209220
486184,33645,0001209223
33922,00149,NA
54052,02678,NA
180886,02680,NA
371291,28766,NA
203840,30451,NA
203836,30452,NA
1395240,47584,NA
62162,30453,NA
203822,30456,NA
536397,43020,NA
220295,15468,NA
322017,57610,NA
270212,27044,NA
485793,58878,NA
66197,04205,NA
66192,01533,NA
500070,40454,NA
180036,18723,NA
200021,16716,NA
38926,13637,NA
32009,01523,NA
35508,02774,NA
33783,20876,NA
273293,08229,NA
620081,41841,NA
1120551,49842,NA
273294,19697,NA
180658,29722,NA
1253149,43863,NA
343589,33802,NA
34806,29049,NA
102722,10075,NA
457517,32299,NA
203585,12680,NA
327584,35540,NA
220121,28689,NA
324800,40156,NA
201029,25523,NA
182218,18639,NA
492112,31351,NA
647323,44666,NA
373810,36007,NA
1205258,47454,NA
373761,17732,NA
540144,40133,NA
50971,26187,NA
181284,20746,NA
82612,26229,NA
56022,22158,NA
1113025,51715,NA
55697,03821,NA
55677,03819,NA
91106,27109,NA
1465918,55800,NA
140952,14479,NA
85802,02206,NA
51817,02657,NA
321998,13559,NA
322010,25673,NA
322015,25675,NA
275309,34390,NA
275436,34391,NA
275312,34392,NA
275447,35750,NA
1112585,54427,NA
347785,35404,NA
338419,32840,NA
503154,16387,NA
503388,59258,NA
140178,15322,NA
183388,20094,NA
183385,20093,NA
183377,20092,NA
183396,20095,NA
35615,16288,NA
35621,00830,NA
273417,09821,NA
1276961,45146,NA
328257,18009,NA
37991,00239,NA
310340,28519,NA
39041,28520,NA
86646,34661,NA
38201,02079,NA
38076,01477,NA
445901,32855,NA
345649,39802,NA
1587702,48063,NA
1483185,48064,NA
310508,47407,NA
54417,40630,NA
1047315,47408,NA
310206,27400,NA
91852,01803,NA
593465,34857,NA
833913,36788,NA
202913,10901,NA
202917,13146,NA
1111758,42119,NA
1188599,43540,NA
797815,44868,NA
54852,23466,NA
182411,35475,NA
201912,27937,NA
86002,19490,NA
1302242,55492,NA
1468028,55489,NA
78347,01061,NA
78307,19224,NA
57542,16606,NA
78522,02413,NA
338403,37551,NA
338436,45049,NA
338450,37548,NA
2021582,57300,NA
